StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Last Seen Flow Element ID,Last Seen Question IDs,chat_ES_1,chat_ES_2,chat_ES_3,chat_ES_4,chat_ES_5,chat_ES_6,chat_ES_7,chat_ES_8,chat_PI_1,chat_PI_2,chat_PI_3,chat_PI_4,chat_PI_5,chat_PI_6,chat_PI_7,chat_PI_8,chat_CO_1,chat_CO_2,chat_CO_3,chat_CO_4,chat_CO_5,chat_CO_6,chat_CO_7,chat_CO_8,SME_ES_1,SME_ES_2,SME_ES_3,SME_ES_4,SME_ES_5,SME_ES_6,SME_ES_7,SME_PI_1,SME_PI_2,SME_PI_3,SME_PI_4,SME_PI_5,SME_PI_6,SME_PI_7,SME_CO_1,SME_CO_2,SME_CO_3,SME_CO_4,SME_CO_5,SME_CO_6,SME_CO_7,GENIE_EF_1,GENIE_EF_2,GENIE_EF_3,GENIE_EF_4,GENIE_EF_5,GENIE_EF_6,GENIE_EF_7,GENIE_PI_1,GENIE_PI_2,GENIE_PI_3,GENIE_PI_4,GENIE_PI_5,GENIE_PI_6,GENIE_PI_7,GENIE_CO_1,GENIE_CO_2,GENIE_CO_3,GENIE_CO_4,GENIE_CO_5,GENIE_CO_6,GENIE_CO_7,Q51,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,5_10,5_11,5_12,5_13,5_14,5_15,5_16,5_17,5_18,5_19,5_20,5_21,5_22,5_23,5_24,5_25,5_26,5_27,5_28,5_29,5_30,5_31,5_32,5_33,5_34,5_35,5_36,5_37,5_38,5_39,5_40,5_41,5_42,5_43,5_44,5_45,5_46,5_47,5_48,5_49,5_50,5_51,9,9_4_TEXT,Q55,Q57,Q56
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Last Seen Flow Element ID,Last Seen Question IDs,I primarily use AI tools to complete routine or administrative tasks more efficiently.,I prefer to use AI tools for simple tasks rather than complex or strategic work.,"I see AI as a tool that helps me save time, not as a collaborator in my work.",I prefer to keep final judgment and decision-making clearly in my own hands when using AI.,I am cautious about relying too heavily on AI-generated outputs.,I use AI most when it helps me reduce repetitive work.,I prefer AI tools that require minimal prompting or adjustment from me.,AI is most useful to me when it supports basic task execution without changing how I think about my work.,I use AI tools as a competent assistant that helps me develop ideas or organize my thinking.,I treat AI-generated outputs as a starting point that I refine using my own expertise.,I use AI to help me approach tasks I might not have had enough time or knowledge to complete on my own.,I see prompting AI as a useful skill that improves with practice.,"I use AI to support my decision-making, but I do not let it make decisions for me.","AI helps me become more productive by helping me start, structure, or improve my work.",I use AI to explore alternative perspectives before reaching my own conclusions.,I value AI when it extends my capabilities while still leaving me responsible for the final output.,I use AI as a collaborative partner that can help me think through complex issues.,I value AI most when it challenges my assumptions or improves my reasoning.,I see AI as a kind of expert-like teammate rather than merely a task-support tool.,I use AI in an iterative back-and-forth process to improve the quality of my work.,I believe effective AI use requires sophisticated prompting and reflection.,AI helps me deepen my analysis rather than simply complete tasks faster.,"I use AI to test, refine, or strengthen my professional judgment.",Working with AI can feel like collaborating with a knowledgeable partner who helps improve my thinking.,I am confident in my ability to construct useful AI prompts.,Using AI tools gives me more time to connect with colleagues.,AI tools often produce inaccurate results.,It requires a lot of effort to construct prompts that provide the results I expect.,AI tools cannot replace human expertise in workplace decision-making.,I reserve AI for tasks that demand little mental effort.,I prefer to maintain independent control over my work.,Using AI tools helps me be more creative at work.,AI tools help me to “get started” when I am stuck on a task.,Over time I have gotten better at creating effective prompts for AI tools.,AI offers valuable guidance on complex or unfamiliar topics.,My decision making is aided by AI.,I am more productive when using AI.,My confidence in solving a problem is enhanced with AI.,AI tools are adequate collaborators for complex tasks.,My employer has done a good job with integrating AI tools into our workflows.,"Using AI tools involves an evolving relationship, much like getting to know a new colleague or friend.",Continuous workplace learning to adapt to changing skill requirements is essential in our evolving AI landscape.,My collaboration with AI is full of back-and-forth exchanges.,My ability to think strategically is enhanced with AI.,"AI challenges my thinking in beneficial, thought-provoking ways.",AI helps me distill lengthy discussions into concise insights.,AI accelerates my task completion by automating routine processes.,AI is my go-to solution for automating tedious administrative functions.,AI effectively condenses complex information into actionable summaries for me.,The speed of my daily operations is enhanced by AI's task automation.,AI increases my confidence in the clarity and correctness of generated report summaries.,"AI seamlessly automates repetitive administrative chores, freeing up mental bandwidth.",AI's competent task handling enhances my workflow efficiency.,AI-generated suggestions broaden the range of options I consider for creative projects.,AI jumpstarts my projects by offering preliminary ideas that I can develop further.,I view AI as an indispensable resource in bolstering my task management.,AI systems provide reliable foundational work that I can build on.,AI's recommendations offer valuable alternative pathways in my work.,"AI lays the groundwork for my projects, offering a springboard for development.",I perceive AI as providing an expert-level perspective in collaborative processes.,"In my view, AI functions as a reliable contributor, much like a dependable team member.",AI thrives in environments requiring intricate problem-solving and strategic insights.,"AI impressively adapts to new challenges, showcasing intelligent decision-making in evolving contexts.",I find AI's nuanced understanding enhances collaborative efforts by providing well-rounded viewpoints.,"I rely on AI to maintain reliable exchanges, much like a seasoned confidant in complex discussions.","AI excels in dissecting multifaceted problems, enhancing our collaborative depth.",Which context did you have in mind as you responded to the statements in this survey?,Undergraduate Majors  Please indicate your major. - Apparel Design & Development   ,Undergraduate Majors  Please indicate your major. - Applied Biochemistry and Molecular Biology,Undergraduate Majors  Please indicate your major. - Applied Mathematics & Computer Science   ,Undergraduate Majors  Please indicate your major. - Applied Science   ,Undergraduate Majors  Please indicate your major. - Applied Social Science    ,Undergraduate Majors  Please indicate your major. - Art Education   ,Undergraduate Majors  Please indicate your major. - Business Administration   ,"Undergraduate Majors  Please indicate your major. - Career, Technical Education & Training (was VTAE)",Undergraduate Majors  Please indicate your major. - Computer and Electrical Engineering    ,Undergraduate Majors  Please indicate your major. - Computer Science,Undergraduate Majors  Please indicate your major. - Construction   ,Undergraduate Majors  Please indicate your major. - Criminal Justice & Rehabilitation,Undergraduate Majors  Please indicate your major. - Graphic Communications,Undergraduate Majors  Please indicate your major. - Dietetics   ,Undergraduate Majors  Please indicate your major. - Digital Marketing Technology,Undergraduate Majors  Please indicate your major. - Early Childhood Education   ,Undergraduate Majors  Please indicate your major. - Engineering Technology (was Industrial Technology),Undergraduate Majors  Please indicate your major. - Entertainment Design,Undergraduate Majors  Please indicate your major. - Environmental Science,Undergraduate Majors  Please indicate your major. - Family & Consumer Sciences Education  ,Undergraduate Majors  Please indicate your major. - Food Science & Technology,"Undergraduate Majors  Please indicate your major. - Game, Design and Development",Undergraduate Majors  Please indicate your major. - Graphic Design & Interactive Media,Undergraduate Majors  Please indicate your major. - Golf Enterprise Management,"Undergraduate Majors  Please indicate your major. - Health, Wellness & Fitness","Undergraduate Majors  Please indicate your major. - Hotel, Restaurant & Tourism Management  ",Undergraduate Majors  Please indicate your major. - Human Development & Family Studies,Undergraduate Majors  Please indicate your major. - Industrial Design,Undergraduate Majors  Please indicate your major. - Information & Communication Technology  ,Undergraduate Majors  Please indicate your major. - Computer Networking & Information Technology,Undergraduate Majors  Please indicate your major. - Interior Design,Undergraduate Majors  Please indicate your major. - Management (was Industrial Management)   ,Undergraduate Majors  Please indicate your major. - Manufacturing Engineering   ,Undergraduate Majors  Please indicate your major. - Marketing & Business Education   ,Undergraduate Majors  Please indicate your major. - Mechanical Engineering,Undergraduate Majors  Please indicate your major. - Packaging   ,Undergraduate Majors  Please indicate your major. - Plastics Engineering   ,Undergraduate Majors  Please indicate your major. - Professional Communication & Emerging Media (was Technical Communication),Undergraduate Majors  Please indicate your major. - Psychology ,Undergraduate Majors  Please indicate your major. - Real Estate Property Management,Undergraduate Majors  Please indicate your major. - Rehabilitation Services,Undergraduate Majors  Please indicate your major. - Retail Merchandising & Management   ,Undergraduate Majors  Please indicate your major. - Science Education   ,Undergraduate Majors  Please indicate your major. - Special Education   ,Undergraduate Majors  Please indicate your major. - Studio Art ,Undergraduate Majors  Please indicate your major. - Supply Chain Management    ,Undergraduate Majors  Please indicate your major. - Sustainable Management    ,Undergraduate Majors  Please indicate your major. - Technology Education   ,Undergraduate Majors  Please indicate your major. - Technology & Science Education   ,Undergraduate Majors  Please indicate your major. - Video Production,Undergraduate Majors  Please indicate your major. - Undeclared Major,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,What is your age in years?,What is your employment status?,"If employed, what is your job title?"
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""LastSeenFlowID""}","{""ImportId"":""LastSeenQuestions""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID66""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52"",""choiceId"":""1""}","{""ImportId"":""QID52"",""choiceId"":""2""}","{""ImportId"":""QID52"",""choiceId"":""3""}","{""ImportId"":""QID52"",""choiceId"":""4""}","{""ImportId"":""QID52"",""choiceId"":""5""}","{""ImportId"":""QID52"",""choiceId"":""6""}","{""ImportId"":""QID52"",""choiceId"":""7""}","{""ImportId"":""QID52"",""choiceId"":""8""}","{""ImportId"":""QID52"",""choiceId"":""9""}","{""ImportId"":""QID52"",""choiceId"":""10""}","{""ImportId"":""QID52"",""choiceId"":""11""}","{""ImportId"":""QID52"",""choiceId"":""12""}","{""ImportId"":""QID52"",""choiceId"":""13""}","{""ImportId"":""QID52"",""choiceId"":""14""}","{""ImportId"":""QID52"",""choiceId"":""15""}","{""ImportId"":""QID52"",""choiceId"":""16""}","{""ImportId"":""QID52"",""choiceId"":""17""}","{""ImportId"":""QID52"",""choiceId"":""18""}","{""ImportId"":""QID52"",""choiceId"":""19""}","{""ImportId"":""QID52"",""choiceId"":""20""}","{""ImportId"":""QID52"",""choiceId"":""21""}","{""ImportId"":""QID52"",""choiceId"":""22""}","{""ImportId"":""QID52"",""choiceId"":""23""}","{""ImportId"":""QID52"",""choiceId"":""24""}","{""ImportId"":""QID52"",""choiceId"":""25""}","{""ImportId"":""QID52"",""choiceId"":""26""}","{""ImportId"":""QID52"",""choiceId"":""27""}","{""ImportId"":""QID52"",""choiceId"":""28""}","{""ImportId"":""QID52"",""choiceId"":""29""}","{""ImportId"":""QID52"",""choiceId"":""30""}","{""ImportId"":""QID52"",""choiceId"":""31""}","{""ImportId"":""QID52"",""choiceId"":""32""}","{""ImportId"":""QID52"",""choiceId"":""33""}","{""ImportId"":""QID52"",""choiceId"":""34""}","{""ImportId"":""QID52"",""choiceId"":""35""}","{""ImportId"":""QID52"",""choiceId"":""36""}","{""ImportId"":""QID52"",""choiceId"":""37""}","{""ImportId"":""QID52"",""choiceId"":""38""}","{""ImportId"":""QID52"",""choiceId"":""39""}","{""ImportId"":""QID52"",""choiceId"":""40""}","{""ImportId"":""QID52"",""choiceId"":""41""}","{""ImportId"":""QID52"",""choiceId"":""42""}","{""ImportId"":""QID52"",""choiceId"":""43""}","{""ImportId"":""QID52"",""choiceId"":""44""}","{""ImportId"":""QID52"",""choiceId"":""45""}","{""ImportId"":""QID52"",""choiceId"":""46""}","{""ImportId"":""QID52"",""choiceId"":""47""}","{""ImportId"":""QID52"",""choiceId"":""48""}","{""ImportId"":""QID52"",""choiceId"":""49""}","{""ImportId"":""QID52"",""choiceId"":""50""}","{""ImportId"":""QID52"",""choiceId"":""51""}","{""ImportId"":""QID53""}","{""ImportId"":""QID53_4_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID57""}","{""ImportId"":""QID56_TEXT""}"
9/10/2026 7:35,9/10/2026 7:37,Survey Preview,*******,100,85,TRUE,9/10/2026 7:37,R_5Don0FKFgxwxb1D,*******,*******,*******,*******,*******,*******,preview,EN,FL_EOS_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2026 7:38,9/10/2026 7:39,Survey Preview,*******,100,37,TRUE,9/10/2026 7:39,R_7J3FAr8TG9NvYxs,*******,*******,*******,*******,*******,*******,preview,EN,FL_EOS_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2026 7:54,9/10/2026 7:59,IP Address,*******,100,341,TRUE,9/10/2026 7:59,R_3DsMv8XsPfULSsp,*******,*******,*******,*******,*******,*******,anonymous,EN,FL_EOS_ID,,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,school,,,,,,,,,,,,,,,,,,,,,Food Science & Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Man/Male,,22,Not working (seeking employment),
9/10/2026 8:05,9/10/2026 8:19,IP Address,*******,100,807,TRUE,9/10/2026 8:19,R_5ZTwhGAoHqn2cga,*******,*******,*******,*******,*******,*******,anonymous,EN,FL_EOS_ID,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,school,,,,,,,,,,,,,,Dietetics   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woman/Female,,21,Not working (laid off),
9/10/2026 8:03,9/10/2026 8:24,IP Address,*******,100,1234,TRUE,9/10/2026 8:24,R_1ZwGQm9WpL4IAjT,*******,*******,*******,*******,*******,*******,anonymous,EN,FL_EOS_ID,,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Psychology ,,,,,,,,,,,,,Woman/Female,,20,Working (paid employee),"RA, babysitter, and peer resource assistant "
9/10/2026 8:29,9/10/2026 8:44,IP Address,*******,100,874,TRUE,9/10/2026 8:44,R_6VgSS8seV1dKy6B,*******,*******,*******,*******,*******,*******,anonymous,EN,FL_EOS_ID,,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woman/Female,,22,Working (paid employee),
9/10/2026 8:45,9/10/2026 8:53,IP Address,*******,100,442,TRUE,9/10/2026 8:53,R_7VfoTdjw1PhAEe5,*******,*******,*******,*******,*******,*******,anonymous,EN,FL_EOS_ID,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,work,,,,,,,Business Administration   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefer not to say,,26,Working (paid employee),
9/10/2026 8:37,9/10/2026 8:53,IP Address,*******,100,941,TRUE,9/10/2026 8:53,R_3WAbO8gCgJFVn1D,*******,*******,*******,*******,*******,*******,anonymous,EN,FL_EOS_ID,,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Psychology ,,,,,,,,,,,,,Man/Male,,30,Working (paid employee),Student Affairs Coordinator 
